familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,note
SSC標準 RC梁,G1,5944692,符号,String,autodesk.spec:spec.string-2.0.0,FALSE,G1,G1,
SSC標準 RC梁,G1,5944692,終点側あばら筋ピッチ,Double,autodesk.spec.aec:number-1.0.0,FALSE,200,200,終端側のあばら筋のピッチ
SSC標準 RC梁,G1,5944692,終点側あばら筋径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,13,13,終端側のあばら筋の径
SSC標準 RC梁,G1,5944692,終点側あばら筋本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,4,4,終端側のあばら筋の組み合わせ本数
SSC標準 RC梁,G1,5944692,終点側あばら筋種別,String,autodesk.spec:spec.string-2.0.0,FALSE,SD295,SD295,
SSC標準 RC梁,G1,5944692,終点側あばら筋記号,String,autodesk.spec:spec.string-2.0.0,FALSE,D,D,
SSC標準 RC梁,G1,5944692,終点側カットオフ長,Double,autodesk.spec.aec:length-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側上端1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,8,8,終端側の上端1段目（上側）の主筋本数
SSC標準 RC梁,G1,5944692,終点側上端1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側上端2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,終端側の上端2段目の主筋本数
SSC標準 RC梁,G1,5944692,終点側上端2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側上端3段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,終端側の上端3段目の主筋本数
SSC標準 RC梁,G1,5944692,終点側上端3段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側下端1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,終端側の下端1段目（下側）の主筋本数
SSC標準 RC梁,G1,5944692,終点側下端1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側下端2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,終端側の下端2段目の主筋本数
SSC標準 RC梁,G1,5944692,終点側下端2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側下端3段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,終端側の下端3段目の主筋本数
SSC標準 RC梁,G1,5944692,終点側下端3段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側主筋太径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,29,29,終点側の主筋径
SSC標準 RC梁,G1,5944692,終点側主筋太径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,SD390,SD390,
SSC標準 RC梁,G1,5944692,終点側主筋細径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC梁,G1,5944692,終点側主筋細径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,終点側断面形状,,,FALSE,,,
SSC標準 RC梁,G1,5944692,終点側端部条件,,,FALSE,,,
SSC標準 RC梁,G1,5944692,終点側鉄骨材種,,,FALSE,,,
SSC標準 RC梁,G1,5944692,耐火等級,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,腹筋径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,腹筋の径
SSC標準 RC梁,G1,5944692,腹筋本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,腹筋の本数
SSC標準 RC梁,G1,5944692,製造元,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,説明,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,鉄骨材種,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,階1,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,階2,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC梁,G1,5944692,高さ,,,FALSE,,,
