familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,
SSC標準 RC角柱 2,C1,5944743,柱脚tfy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚twx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚twy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚フープX本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,2,2,柱脚のX軸方向に並ぶフープ筋の本数
SSC標準 RC角柱 2,C1,5944743,柱脚フープY本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,2,2,柱脚のY軸方向に並ぶフープ筋の本数
SSC標準 RC角柱 2,C1,5944743,柱脚フープピッチ,Double,autodesk.spec.aec:number-1.0.0,FALSE,100,100,柱脚のフープのピッチ
SSC標準 RC角柱 2,C1,5944743,柱脚フープ径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,13,13,柱脚のフープ筋の径
SSC標準 RC角柱 2,C1,5944743,柱脚フープ種別,String,autodesk.spec:spec.string-2.0.0,FALSE,SD295,SD295,
SSC標準 RC角柱 2,C1,5944743,柱脚フープ記号,String,autodesk.spec:spec.string-2.0.0,FALSE,D,D,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋X1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,7,7,柱脚のY軸方向の幅の辺に沿って並ぶ主筋の本数
SSC標準 RC角柱 2,C1,5944743,柱脚主筋X1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋X2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋X2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋Y1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,6,6,柱脚のX軸方向の幅の辺に沿って並ぶ主筋の本数
SSC標準 RC角柱 2,C1,5944743,柱脚主筋Y1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋Y2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋Y2段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋太径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,25,25,柱脚の主筋の径
SSC標準 RC角柱 2,C1,5944743,柱脚主筋太径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,SD345,SD345,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋細径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚主筋細径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚幅止め筋ピッチ,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚幅止め筋径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚幅止め筋種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚断面形状,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚断面形状x,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚断面形状y,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋X太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋X方向かぶり厚,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋X細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋Y太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋Y方向かぶり厚,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋Y細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋太径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋太径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋細径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱脚芯鉄筋細径種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚鉄骨材種,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚鉄骨材種x,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱脚鉄骨材種y,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Bx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Bx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭By,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭By_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭D_By,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭D_Hy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭D_tfy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭D_twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Hx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Hx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Hy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Hy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭L_Bx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭L_Hx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭L_tfx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭L_twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭R_Bx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭R_Hx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭R_tfx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭R_twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Rx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Rx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Ry,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭Ry_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭U_By,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭U_Hy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭U_tfy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭U_twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭r,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭tfx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭tfx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭tfy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭tfy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭twx,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭twx_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭twy,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭twy_B,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭フラグ,,,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭フープX本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,柱頭のX軸方向に並ぶフープ筋の本数
SSC標準 RC角柱 2,C1,5944743,柱頭フープY本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,柱頭のY軸方向に並ぶフープ筋の本数
SSC標準 RC角柱 2,C1,5944743,柱頭フープピッチ,Double,autodesk.spec.aec:number-1.0.0,FALSE,0,0,柱頭のフープのピッチ
SSC標準 RC角柱 2,C1,5944743,柱頭フープ径,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,柱頭のフープ筋の径
SSC標準 RC角柱 2,C1,5944743,柱頭フープ種別,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭フープ記号,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋X1段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,柱頭のY軸方向の幅の辺に沿って並ぶ主筋の本数
SSC標準 RC角柱 2,C1,5944743,柱頭主筋X1段筋細径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
SSC標準 RC角柱 2,C1,5944743,柱頭主筋X2段筋太径本数,Integer,autodesk.spec:spec.int64-2.0.0,FALSE,0,0,
